Starters;Tm;MP;FG;FGA;3P;3PA;FT;FTA;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;FG%;3P%;FT%;Team;Year
Allen Iverson;PHI;28:00:00;10;18;2;2;4;5;2;0;2;9;2;0;5;0;26;.556;1.000;.800;East;2000
Vince Carter;TOR;28:00:00;6;11;0;2;0;0;2;2;4;2;2;0;2;0;12;.545;.000;;East;2000
Alonzo Mourning;MIA;27:00:00;7;11;0;0;1;2;2;5;7;1;3;4;1;4;15;.636;;.500;East;2000
Eddie Jones;CHH;21:00;4;7;2;3;0;0;1;3;4;3;1;0;1;1;10;.571;.667;;East;2000
Grant Hill;DET;19:00;3;7;0;1;1;1;0;3;3;5;1;0;3;0;7;.429;.000;1.000;East;2000
Reggie Miller;IND;21:00;1;7;1;6;2;2;0;2;2;3;1;0;1;1;5;.143;.167;1.000;East;2000
Allan Houston;NYK;18:00;3;10;1;3;4;4;0;0;0;2;1;0;1;1;11;.300;.333;1.000;East;2000
Ray Allen;MIL;17:00;4;13;1;6;5;6;1;0;1;2;3;1;3;2;14;.308;.167;.833;East;2000
Glenn Robinson;MIL;17:00;5;10;0;0;0;0;2;4;6;0;0;0;0;0;10;.500;;;East;2000
Dikembe Mutombo;ATL;16:00;2;4;0;0;0;0;2;6;8;0;0;0;2;0;4;.500;;;East;2000
Jerry Stackhouse;DET;14:00;4;7;0;0;0;0;0;1;1;2;0;0;1;2;8;.571;;;East;2000
Dale Davis;IND;14:00;2;3;0;0;0;0;3;5;8;1;0;0;0;0;4;.667;;;East;2000
Kevin Garnett;MIN;35:00:00;10;19;0;1;4;4;3;7;10;5;1;1;0;1;24;.526;.000;1.000;West;2000
Jason Kidd;PHO;34:00:00;4;9;3;6;0;0;0;5;5;14;4;0;6;0;11;.444;.500;;West;2000
Tim Duncan;SAS;33:00:00;12;14;0;0;0;0;7;7;14;4;1;1;2;3;24;.857;;;West;2000
Kobe Bryant;LAL;28:00:00;7;16;1;4;0;0;1;0;1;3;2;0;1;3;15;.438;.250;;West;2000
Shaquille O'Neal;LAL;25:00:00;11;20;0;0;0;2;4;5;9;3;0;3;4;2;22;.550;;.000;West;2000
Rasheed Wallace;POR;21:00;3;6;0;0;3;4;2;2;4;0;1;1;0;0;9;.500;;.750;West;2000
Gary Payton;SEA;20:00;1;8;0;4;3;3;0;4;4;8;2;0;2;1;5;.125;.000;1.000;West;2000
Chris Webber;SAC;13:00;3;10;0;0;0;0;3;5;8;3;1;0;2;2;6;.300;;;West;2000
John Stockton;UTA;11:00;5;5;0;0;0;0;0;0;0;2;1;0;0;2;10;1.000;;;West;2000
Michael Finley;DAL;10:00;5;6;1;2;0;0;0;1;1;0;0;0;1;0;11;.833;.500;;West;2000
David Robinson;SAS;07:00;0;1;0;0;0;0;1;1;2;0;0;0;1;1;0;.000;;;West;2000
Karl Malone;UTA;03:00;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;.000;;;West;2000
Kobe Bryant;LAL;30:00:00;9;17;1;2;0;0;2;2;4;7;1;0;3;3;19;.529;.500;;West;2001
Jason Kidd;PHO;30:00:00;4;6;3;4;0;0;0;4;4;2;5;0;5;3;11;.667;.750;;West;2001
Chris Webber;SAC;29:00:00;6;14;0;1;2;4;4;5;9;3;1;0;1;2;14;.429;.000;.500;West;2001
Tim Duncan;SAS;28:00:00;5;11;0;0;4;4;4;10;14;1;2;1;2;1;14;.455;;1.000;West;2001
Kevin Garnett;MIN;27:00:00;7;12;0;0;0;0;1;3;4;4;1;3;2;0;14;.583;;;West;2001
Rasheed Wallace;POR;21:00;1;7;0;1;0;0;1;3;4;2;1;0;2;0;2;.143;.000;;West;2001
Michael Finley;DAL;19:00;5;15;0;2;2;2;2;1;3;5;0;0;1;0;12;.333;.000;1.000;West;2001
Gary Payton;SEA;18:00;0;5;0;0;0;0;2;2;4;5;2;0;1;2;0;.000;;;West;2001
Antonio McDyess;DEN;15:00;4;9;0;0;0;0;3;5;8;2;1;0;0;2;8;.444;;;West;2001
David Robinson;SAS;10:00;3;5;0;0;2;4;2;2;4;0;0;0;1;3;8;.600;;.500;West;2001
Vlade Divac;SAC;09:00;4;6;0;1;0;0;1;2;3;1;2;0;1;0;8;.667;.000;;West;2001
Karl Malone;UTA;04:00;0;2;0;0;0;0;0;1;1;0;0;0;0;0;0;.000;;;West;2001
Allen Iverson;PHI;27:00:00;9;21;1;1;6;6;0;2;2;5;4;0;4;0;25;.429;1.000;1.000;West;2001
Vince Carter;TOR;24:00:00;7;18;1;4;1;1;1;2;3;4;1;1;3;1;16;.389;.250;1.000;West;2001
Tracy McGrady;ORL;21:00;1;4;0;1;0;0;1;0;1;0;2;1;4;0;2;.250;.000;;West;2001
Antonio Davis;TOR;20:00;4;11;0;0;0;0;7;2;9;0;1;1;0;0;8;.364;;;West;2001
Anthony Mason;MIA;20:00;0;3;0;0;0;0;2;2;4;1;1;0;2;2;0;.000;;;West;2001
Dikembe Mutombo;ATL;28:00:00;2;2;0;0;2;2;3;19;22;0;2;3;2;5;6;1.000;;1.000;West;2001
Ray Allen;MIL;19:00;7;15;1;7;0;0;1;2;3;2;1;1;1;0;15;.467;.143;;West;2001
Stephon Marbury;NJN;18:00;5;9;2;3;0;2;0;0;0;4;0;0;3;2;12;.556;.667;.000;West;2001
Glenn Robinson;MIL;18:00;4;7;0;0;0;0;1;3;4;1;1;1;0;0;8;.571;;;West;2001
Latrell Sprewell;NYK;15:00;3;6;0;1;1;3;1;0;1;4;0;0;1;1;7;.500;.000;.333;West;2001
Jerry Stackhouse;DET;15:00;3;8;1;1;0;2;2;0;2;2;0;0;0;1;7;.375;1.000;.000;West;2001
Allan Houston;NYK;15:00;2;5;1;2;0;0;0;3;3;3;0;0;1;0;5;.400;.500;;West;2001
Allen Iverson;PHI;25:00:00;2;9;0;0;1;2;1;3;4;3;0;0;2;0;5;.222;;.500;East;2002
